DATE,Y,X
3/07/2018,586,598
4/07/2018,567,601
5/07/2018,489,639
6/07/2018,472,685
7/07/2018,462,684
8/07/2018,457,682
9/07/2018,506,593
10/07/2018,528,542
11/07/2018,533,539
12/07/2018,489,513
13/07/2018,423,507
14/07/2018,418,425
15/07/2018,411,420
16/07/2018,452,443
17/07/2018,507,484
18/07/2018,462,487
19/07/2018,464,445
20/07/2018,469,443
21/07/2018,477,444
22/07/2018,467,443
23/07/2018,515,521
24/07/2018,540,517
25/07/2018,550,528
26/07/2018,458,476
27/07/2018,429,432
28/07/2018,433,434
29/07/2018,432,435
30/07/2018,454,435
31/07/2018,502,471
1/08/2018,448,478
2/08/2018,445,423
3/08/2018,442,426
4/08/2018,444,427
5/08/2018,426,417
6/08/2018,499,477
7/08/2018,523,492
8/08/2018,519,515
9/08/2018,456,472
10/08/2018,440,465
11/08/2018,442,467
12/08/2018,431,468
13/08/2018,471,478
14/08/2018,528,510
15/08/2018,516,504
16/08/2018,448,436
17/08/2018,452,437
18/08/2018,453,439
19/08/2018,488,437
20/08/2018,534,496
21/08/2018,589,552
22/08/2018,633,678
23/08/2018,624,621
24/08/2018,573,616
25/08/2018,571,620
26/08/2018,566,617
27/08/2018,579,647
28/08/2018,613,667
29/08/2018,668,658
30/08/2018,593,601
31/08/2018,478,524
1/09/2018,463,507
2/09/2018,446,506
3/09/2018,471,445
4/09/2018,505,470
5/09/2018,528,495
6/09/2018,452,535
7/09/2018,421,528
8/09/2018,425,531
9/09/2018,407,530
10/09/2018,432,523
11/09/2018,479,557
12/09/2018,502,564
13/09/2018,438,509
14/09/2018,403,508
15/09/2018,397,508
16/09/2018,397,506
17/09/2018,455,530
18/09/2018,492,624
19/09/2018,544,657
20/09/2018,416,594
21/09/2018,410,532
22/09/2018,483,572
23/09/2018,462,565
24/09/2018,477,585
25/09/2018,496,628
26/09/2018,510,627
27/09/2018,445,560
28/09/2018,440,553
29/09/2018,428,554
30/09/2018,430,552
1/10/2018,556,594
2/10/2018,578,695
3/10/2018,555,666
4/10/2018,510,571
5/10/2018,453,496
6/10/2018,407,499
7/10/2018,403,499
8/10/2018,442,561
9/10/2018,454,590
10/10/2018,494,613
11/10/2018,417,546
12/10/2018,445,538
13/10/2018,407,536
14/10/2018,402,535
15/10/2018,532,674
16/10/2018,606,697
17/10/2018,613,716
18/10/2018,535,598
19/10/2018,443,590
20/10/2018,398,495
21/10/2018,402,493
22/10/2018,425,499
23/10/2018,474,541
24/10/2018,488,529
25/10/2018,447,440
26/10/2018,428,438
27/10/2018,454,437
28/10/2018,429,437
29/10/2018,548,580
30/10/2018,550,608
31/10/2018,625,639
1/11/2018,493,568
2/11/2018,401,562
3/11/2018,397,464
4/11/2018,396,473
5/11/2018,492,581
6/11/2018,543,618
7/11/2018,581,646
8/11/2018,511,570
9/11/2018,444,484
10/11/2018,434,479
11/11/2018,430,476
12/11/2018,515,518
13/11/2018,543,612
14/11/2018,549,623
15/11/2018,464,546
16/11/2018,393,464
17/11/2018,397,467
18/11/2018,395,464
19/11/2018,446,499
20/11/2018,489,541
21/11/2018,537,556
22/11/2018,457,486
23/11/2018,433,484
24/11/2018,443,537
25/11/2018,414,492
26/11/2018,527,610
27/11/2018,588,625
28/11/2018,587,667
29/11/2018,496,593
30/11/2018,423,587
1/12/2018,424,475
2/12/2018,455,474
3/12/2018,464,512
4/12/2018,487,551
5/12/2018,498,547
6/12/2018,441,469
7/12/2018,393,454
8/12/2018,400,455
9/12/2018,388,461
10/12/2018,466,535
11/12/2018,511,559
12/12/2018,542,582
13/12/2018,478,517
14/12/2018,422,462
15/12/2018,427,458
16/12/2018,443,454
17/12/2018,544,532
18/12/2018,576,559
19/12/2018,524,566
20/12/2018,352,374
21/12/2018,338,370
22/12/2018,340,369
23/12/2018,336,367
24/12/2018,338,379
25/12/2018,346,396
26/12/2018,335,403
27/12/2018,339,363
28/12/2018,341,359
29/12/2018,340,362
30/12/2018,334,360
31/12/2018,350,384
1/01/2019,370,427
2/01/2019,417,453
3/01/2019,407,447
4/01/2019,411,448
5/01/2019,418,446
6/01/2019,413,442
7/01/2019,595,606
8/01/2019,627,637
9/01/2019,643,649
10/01/2019,554,572
11/01/2019,459,568
12/01/2019,477,455
13/01/2019,511,451
14/01/2019,536,532
15/01/2019,527,556
16/01/2019,529,558
17/01/2019,420,488
18/01/2019,426,478
19/01/2019,423,477
20/01/2019,429,477
21/01/2019,568,559
22/01/2019,599,592
23/01/2019,644,623
24/01/2019,544,545
25/01/2019,426,540
26/01/2019,384,541
27/01/2019,397,537
28/01/2019,492,553
29/01/2019,545,685
30/01/2019,566,720
31/01/2019,522,650
